    target  danceability  energy  key  loudness  mode  speechiness  acousticness  instrumentalness  liveness  valence    tempo            type                      id                                   uri                                                track_href                                                      analysis_url  duration_ms  time_signature
50       0         0.625   0.775    0    -5.199     1       0.0248      0.431000          0.000052    0.1200   0.5880  101.961  audio_features  0Z0kNthq0sS4lvGz9SSlBF  spotify:track:0Z0kNthq0sS4lvGz9SSlBF  https://api.spotify.com/v1/tracks/0Z0kNthq0sS4lvGz9SSlBF  https://api.spotify.com/v1/audio-analysis/0Z0kNthq0sS4lvGz9SSlBF       210123               4
51       0         0.658   0.672    3    -6.284     1       0.0265      0.042900          0.000000    0.1260   0.8050  115.017  audio_features  7fv8w55N7T95xtX72TycwQ  spotify:track:7fv8w55N7T95xtX72TycwQ  https://api.spotify.com/v1/tracks/7fv8w55N7T95xtX72TycwQ  https://api.spotify.com/v1/audio-analysis/7fv8w55N7T95xtX72TycwQ       173827               4
52       0         0.563   0.275    9   -17.633     1       0.0304      0.234000          0.000000    0.1050   0.2390  145.990  audio_features  1IAHFLugLgZLTn8qMVzNHA  spotify:track:1IAHFLugLgZLTn8qMVzNHA  https://api.spotify.com/v1/tracks/1IAHFLugLgZLTn8qMVzNHA  https://api.spotify.com/v1/audio-analysis/1IAHFLugLgZLTn8qMVzNHA       195397               4
53       0         0.639   0.840    8    -3.998     1       0.0467      0.290000          0.000001    0.1540   0.5480  109.980  audio_features  00Onz80bx3KFwXcAcwZfH4  spotify:track:00Onz80bx3KFwXcAcwZfH4  https://api.spotify.com/v1/tracks/00Onz80bx3KFwXcAcwZfH4  https://api.spotify.com/v1/audio-analysis/00Onz80bx3KFwXcAcwZfH4       161893               4
54       0         0.616   0.798    8    -4.224     1       0.0481      0.012500          0.000000    0.1140   0.9360   80.033  audio_features  3kdQfsfmWiLbPFrcdvhSYg  spotify:track:3kdQfsfmWiLbPFrcdvhSYg  https://api.spotify.com/v1/tracks/3kdQfsfmWiLbPFrcdvhSYg  https://api.spotify.com/v1/audio-analysis/3kdQfsfmWiLbPFrcdvhSYg       164955               4
55       0         0.574   0.580    7    -6.091     1       0.0278      0.076000          0.000000    0.1200   0.4000  149.974  audio_features  7yNJCsUH3tXlpQiHSsAc5l  spotify:track:7yNJCsUH3tXlpQiHSsAc5l  https://api.spotify.com/v1/tracks/7yNJCsUH3tXlpQiHSsAc5l  https://api.spotify.com/v1/audio-analysis/7yNJCsUH3tXlpQiHSsAc5l       187307               4
56       0         0.689   0.582    5    -6.778     1       0.0236      0.119000          0.004640    0.1010   0.8830   99.021  audio_features  1kBx9VGumfuvlfqdlAGorE  spotify:track:1kBx9VGumfuvlfqdlAGorE  https://api.spotify.com/v1/tracks/1kBx9VGumfuvlfqdlAGorE  https://api.spotify.com/v1/audio-analysis/1kBx9VGumfuvlfqdlAGorE       175280               4
57       0         0.633   0.732    0    -6.995     1       0.0351      0.000475          0.000000    0.1080   0.5150  103.019  audio_features  3t2xlkvPsrcyia0eBaCZ53  spotify:track:3t2xlkvPsrcyia0eBaCZ53  https://api.spotify.com/v1/tracks/3t2xlkvPsrcyia0eBaCZ53  https://api.spotify.com/v1/audio-analysis/3t2xlkvPsrcyia0eBaCZ53       219193               4
58       0         0.562   0.683    7    -4.427     1       0.0296      0.005310          0.000000    0.1070   0.3850  132.003  audio_features  6vC90OOjZR165Hw8CpsqEm  spotify:track:6vC90OOjZR165Hw8CpsqEm  https://api.spotify.com/v1/tracks/6vC90OOjZR165Hw8CpsqEm  https://api.spotify.com/v1/audio-analysis/6vC90OOjZR165Hw8CpsqEm       244798               4
59       0         0.583   0.867   11    -4.170     1       0.0637      0.143000          0.000000    0.0863   0.9620  160.096  audio_features  4QpWhd7l2NrmGmfw4qGlpa  spotify:track:4QpWhd7l2NrmGmfw4qGlpa  https://api.spotify.com/v1/tracks/4QpWhd7l2NrmGmfw4qGlpa  https://api.spotify.com/v1/audio-analysis/4QpWhd7l2NrmGmfw4qGlpa       164678               4
60       0         0.727   0.626    7    -8.415     1       0.0726      0.046900          0.000026    0.1260   0.3220   86.970  audio_features  5f1joOtoMeyppIcJGZQvqJ  spotify:track:5f1joOtoMeyppIcJGZQvqJ  https://api.spotify.com/v1/tracks/5f1joOtoMeyppIcJGZQvqJ  https://api.spotify.com/v1/audio-analysis/5f1joOtoMeyppIcJGZQvqJ       191406               4
61       0         0.538   0.745    8    -5.774     1       0.0387      0.100000          0.000000    0.0630   0.6690  165.755  audio_features  2DwbFtfC6sXBiVDPmju8Dd  spotify:track:2DwbFtfC6sXBiVDPmju8Dd  https://api.spotify.com/v1/tracks/2DwbFtfC6sXBiVDPmju8Dd  https://api.spotify.com/v1/audio-analysis/2DwbFtfC6sXBiVDPmju8Dd       170173               4
62       0         0.800   0.515    9    -5.431     1       0.0351      0.072400          0.000000    0.3550   0.9490  110.018  audio_features  1LtiNpTzzSX8qcvlPFLmeR  spotify:track:1LtiNpTzzSX8qcvlPFLmeR  https://api.spotify.com/v1/tracks/1LtiNpTzzSX8qcvlPFLmeR  https://api.spotify.com/v1/audio-analysis/1LtiNpTzzSX8qcvlPFLmeR       193145               4
63       0         0.431   0.831    8    -5.108     1       0.0474      0.079100          0.000000    0.3120   0.3520  167.960  audio_features  54eUv9Q3D9MZuOGS5PSflp  spotify:track:54eUv9Q3D9MZuOGS5PSflp  https://api.spotify.com/v1/tracks/54eUv9Q3D9MZuOGS5PSflp  https://api.spotify.com/v1/audio-analysis/54eUv9Q3D9MZuOGS5PSflp       184893               4
64       0         0.598   0.839    4    -4.605     1       0.1110      0.106000          0.000000    0.3720   0.7830  105.084  audio_features  2bV4NwncWMnVvcWyU2yxwB  spotify:track:2bV4NwncWMnVvcWyU2yxwB  https://api.spotify.com/v1/tracks/2bV4NwncWMnVvcWyU2yxwB  https://api.spotify.com/v1/audio-analysis/2bV4NwncWMnVvcWyU2yxwB       156276               4
65       0         0.643   0.790    4    -6.079     1       0.0462      0.294000          0.000000    0.1070   0.8000   95.987  audio_features  14GwnOeC9qYEKEA6uOZepa  spotify:track:14GwnOeC9qYEKEA6uOZepa  https://api.spotify.com/v1/tracks/14GwnOeC9qYEKEA6uOZepa  https://api.spotify.com/v1/audio-analysis/14GwnOeC9qYEKEA6uOZepa       188893               4
66       0         0.620   0.776    8    -4.109     1       0.0365      0.358000          0.000043    0.1100   0.5510   93.963  audio_features  6QpZSfLid1YZ6c01BvB5jH  spotify:track:6QpZSfLid1YZ6c01BvB5jH  https://api.spotify.com/v1/tracks/6QpZSfLid1YZ6c01BvB5jH  https://api.spotify.com/v1/audio-analysis/6QpZSfLid1YZ6c01BvB5jH       221633               4
67       0         0.451   0.173    8   -13.934     1       0.0476      0.855000          0.000221    0.2030   0.3460  204.002  audio_features  7CMCTfpiWY6jjV5Y2UAncF  spotify:track:7CMCTfpiWY6jjV5Y2UAncF  https://api.spotify.com/v1/tracks/7CMCTfpiWY6jjV5Y2UAncF  https://api.spotify.com/v1/audio-analysis/7CMCTfpiWY6jjV5Y2UAncF       153529               3
